antecedent,consequent,support,confidence,lift 
['14'],['18'],0.08,0.2,1.04
['18'],['14'],0.08,0.41,1.04
['38'],"['14', '18']",0.06,0.08,1.05
['14'],"['38', '18']",0.06,0.16,1.03
['18'],"['14', '38']",0.06,0.33,1.06
"['14', '38']",['18'],0.06,0.2,1.06
"['38', '18']",['14'],0.06,0.41,1.03
"['14', '18']",['38'],0.06,0.8,1.05
['29'],['18'],0.07,0.19,0.99
['18'],['29'],0.07,0.39,0.99
['38'],"['18', '29']",0.06,0.08,1.09
['29'],"['38', '18']",0.06,0.16,1.02
['18'],"['38', '29']",0.06,0.32,1.05
"['38', '29']",['18'],0.06,0.2,1.05
"['38', '18']",['29'],0.06,0.4,1.02
"['18', '29']",['38'],0.06,0.83,1.09
['36'],"['18', '29']",0.05,0.09,1.15
['29'],"['36', '18']",0.05,0.14,1.12
['18'],"['36', '29']",0.05,0.28,1.07
"['36', '29']",['18'],0.05,0.2,1.07
"['36', '18']",['29'],0.05,0.44,1.12
"['18', '29']",['36'],0.05,0.72,1.15
['35'],['18'],0.08,0.22,1.15
['18'],['35'],0.08,0.43,1.15
['38'],"['18', '35']",0.07,0.09,1.06
['35'],"['38', '18']",0.07,0.18,1.15
['18'],"['38', '35']",0.07,0.34,1.18
"['38', '35']",['18'],0.07,0.23,1.18
"['38', '18']",['35'],0.07,0.43,1.15
"['18', '35']",['38'],0.07,0.8,1.06
['36'],"['18', '35']",0.06,0.09,1.1
['35'],"['36', '18']",0.06,0.15,1.25
['18'],"['36', '35']",0.06,0.29,1.18
"['36', '35']",['18'],0.06,0.23,1.18
"['36', '18']",['35'],0.06,0.46,1.25
"['18', '35']",['36'],0.06,0.69,1.1
['21'],['18'],0.07,0.22,1.13
['18'],['21'],0.07,0.36,1.13
['38'],"['18', '21']",0.06,0.07,1.08
['21'],"['38', '18']",0.06,0.18,1.15
['18'],"['38', '21']",0.06,0.29,1.17
"['38', '21']",['18'],0.06,0.22,1.17
"['38', '18']",['21'],0.06,0.36,1.15
"['18', '21']",['38'],0.06,0.82,1.08
['33'],['18'],0.06,0.21,1.1
['18'],['33'],0.06,0.33,1.1
['38'],"['33', '18']",0.05,0.07,1.08
['33'],"['38', '18']",0.05,0.17,1.13
['18'],"['33', '38']",0.05,0.27,1.17
"['33', '38']",['18'],0.05,0.22,1.17
"['38', '18']",['33'],0.05,0.34,1.13
"['33', '18']",['38'],0.05,0.82,1.08
['36'],['18'],0.12,0.19,1.01
['18'],['36'],0.12,0.64,1.01
['38'],"['36', '18']",0.1,0.13,1.06
['36'],"['38', '18']",0.1,0.16,1.02
['18'],"['38', '36']",0.1,0.51,1.05
"['38', '36']",['18'],0.1,0.2,1.05
"['38', '18']",['36'],0.1,0.64,1.02
"['36', '18']",['38'],0.1,0.8,1.06
['43'],['18'],0.08,0.2,1.04
['18'],['43'],0.08,0.42,1.04
['38'],"['43', '18']",0.07,0.09,1.08
['43'],"['38', '18']",0.07,0.16,1.06
['18'],"['43', '38']",0.07,0.34,1.08
"['43', '38']",['18'],0.07,0.21,1.08
"['38', '18']",['43'],0.07,0.43,1.06
"['43', '18']",['38'],0.07,0.82,1.08
['36'],"['43', '18']",0.05,0.08,1.05
['43'],"['36', '18']",0.05,0.13,1.07
['18'],"['43', '36']",0.05,0.27,1.02
"['43', '36']",['18'],0.05,0.2,1.02
"['36', '18']",['43'],0.05,0.43,1.07
"['43', '18']",['36'],0.05,0.66,1.05
['49'],['18'],0.05,0.2,1.03
['18'],['49'],0.05,0.26,1.03
['3'],['18'],0.1,0.2,1.04
['18'],['3'],0.1,0.51,1.04
['38'],"['18', '3']",0.08,0.11,1.09
['3'],"['38', '18']",0.08,0.17,1.08
['18'],"['38', '3']",0.08,0.42,1.12
"['38', '3']",['18'],0.08,0.21,1.12
"['38', '18']",['3'],0.08,0.53,1.08
"['18', '3']",['38'],0.08,0.83,1.09
['36'],"['18', '3']",0.06,0.1,1.02
['3'],"['36', '18']",0.06,0.13,1.05
['18'],"['36', '3']",0.06,0.33,1.04
"['36', '3']",['18'],0.06,0.2,1.04
"['36', '18']",['3'],0.06,0.51,1.05
"['18', '3']",['36'],0.06,0.64,1.02
['38'],"['36', '18', '3']",0.05,0.07,1.12
['36'],"['38', '18', '3']",0.05,0.08,1.05
['3'],"['38', '36', '18']",0.05,0.11,1.12
['18'],"['38', '36', '3']",0.05,0.28,1.12
"['38', '36']","['18', '3']",0.05,0.11,1.13
"['38', '3']","['36', '18']",0.05,0.14,1.16
"['38', '18']","['36', '3']",0.05,0.35,1.11
"['36', '3']","['38', '18']",0.05,0.17,1.11
"['36', '18']","['38', '3']",0.05,0.44,1.16
"['18', '3']","['38', '36']",0.05,0.55,1.13
"['38', '36', '3']",['18'],0.05,0.21,1.12
"['38', '36', '18']",['3'],0.05,0.54,1.12
"['38', '18', '3']",['36'],0.05,0.66,1.05
"['36', '18', '3']",['38'],0.05,0.85,1.12
['48'],"['18', '3']",0.05,0.1,1.0
['3'],"['48', '18']",0.05,0.11,1.02
['18'],"['48', '3']",0.05,0.27,1.02
"['48', '3']",['18'],0.05,0.19,1.02
"['48', '18']",['3'],0.05,0.5,1.02
"['18', '3']",['48'],0.05,0.53,1.0
['11'],"['18', '3']",0.06,0.11,1.13
['3'],"['11', '18']",0.06,0.12,1.05
['18'],"['11', '3']",0.06,0.3,1.09
"['11', '3']",['18'],0.06,0.21,1.09
"['11', '18']",['3'],0.06,0.51,1.05
"['18', '3']",['11'],0.06,0.59,1.13
['8'],"['18', '3']",0.05,0.11,1.11
['3'],"['8', '18']",0.05,0.11,1.08
['18'],"['8', '3']",0.05,0.28,1.14
"['8', '3']",['18'],0.05,0.22,1.14
"['8', '18']",['3'],0.05,0.53,1.08
"['18', '3']",['8'],0.05,0.55,1.11
['23'],['18'],0.05,0.18,0.96
['18'],['23'],0.05,0.27,0.96
['47'],['18'],0.09,0.19,1.01
['18'],['47'],0.09,0.45,1.01
['38'],"['18', '47']",0.07,0.09,1.07
['47'],"['38', '18']",0.07,0.16,1.02
['18'],"['38', '47']",0.07,0.36,1.04
"['38', '47']",['18'],0.07,0.2,1.04
"['38', '18']",['47'],0.07,0.45,1.02
"['18', '47']",['38'],0.07,0.81,1.07
['11'],"['18', '47']",0.05,0.1,1.13
['47'],"['11', '18']",0.05,0.11,1.01
['18'],"['11', '47']",0.05,0.27,1.12
"['11', '47']",['18'],0.05,0.21,1.12
"['11', '18']",['47'],0.05,0.45,1.01
"['18', '47']",['11'],0.05,0.59,1.13
['36'],"['18', '47']",0.06,0.09,1.09
['47'],"['36', '18']",0.06,0.13,1.08
['18'],"['36', '47']",0.06,0.31,1.07
"['36', '47']",['18'],0.06,0.21,1.07
"['36', '18']",['47'],0.06,0.48,1.08
"['18', '47']",['36'],0.06,0.68,1.09
['17'],"['18', '47']",0.05,0.11,1.27
['47'],"['17', '18']",0.05,0.11,1.12
['18'],"['17', '47']",0.05,0.26,1.23
"['17', '47']",['18'],0.05,0.24,1.23
"['17', '18']",['47'],0.05,0.5,1.12
"['18', '47']",['17'],0.05,0.58,1.27
['38'],['41'],0.11,0.15,1.05
['41'],['38'],0.11,0.8,1.05
['48'],['41'],0.08,0.15,1.03
['41'],['48'],0.08,0.54,1.03
['38'],"['48', '41']",0.06,0.08,1.08
['48'],"['38', '41']",0.06,0.12,1.05
['41'],"['48', '38']",0.06,0.44,1.07
"['48', '38']",['41'],0.06,0.15,1.07
"['38', '41']",['48'],0.06,0.56,1.05
"['48', '41']",['38'],0.06,0.82,1.08
['36'],"['48', '41']",0.05,0.08,1.09
['48'],"['36', '41']",0.05,0.1,1.0
['41'],"['48', '36']",0.05,0.37,1.11
"['48', '36']",['41'],0.05,0.16,1.11
"['36', '41']",['48'],0.05,0.53,1.0
"['48', '41']",['36'],0.05,0.68,1.09
['11'],['41'],0.08,0.15,1.04
['41'],['11'],0.08,0.54,1.04
['38'],"['11', '41']",0.06,0.08,1.07
['11'],"['38', '41']",0.06,0.12,1.06
['41'],"['11', '38']",0.06,0.44,1.08
"['11', '38']",['41'],0.06,0.15,1.08
"['38', '41']",['11'],0.06,0.55,1.06
"['11', '41']",['38'],0.06,0.81,1.07
['36'],"['11', '41']",0.06,0.09,1.2
['11'],"['36', '41']",0.06,0.11,1.12
['41'],"['11', '36']",0.06,0.41,1.2
"['11', '36']",['41'],0.06,0.17,1.2
"['36', '41']",['11'],0.06,0.58,1.12
"['11', '41']",['36'],0.06,0.75,1.2
['8'],['41'],0.07,0.14,1.01
['41'],['8'],0.07,0.5,1.01
['38'],"['8', '41']",0.06,0.08,1.07
['8'],"['38', '41']",0.06,0.12,1.03
['41'],"['8', '38']",0.06,0.41,1.06
"['8', '38']",['41'],0.06,0.15,1.06
"['38', '41']",['8'],0.06,0.51,1.03
"['8', '41']",['38'],0.06,0.81,1.07
['36'],"['8', '41']",0.05,0.08,1.13
['8'],"['36', '41']",0.05,0.1,1.03
['41'],"['8', '36']",0.05,0.36,1.11
"['8', '36']",['41'],0.05,0.16,1.11
"['36', '41']",['8'],0.05,0.51,1.03
"['8', '41']",['36'],0.05,0.71,1.13
['28'],['41'],0.07,0.15,1.03
['41'],['28'],0.07,0.5,1.03
['38'],"['41', '28']",0.06,0.08,1.08
['28'],"['38', '41']",0.06,0.12,1.06
['41'],"['38', '28']",0.06,0.41,1.08
"['38', '28']",['41'],0.06,0.16,1.08
"['38', '41']",['28'],0.06,0.52,1.06
"['41', '28']",['38'],0.06,0.81,1.08
['36'],"['41', '28']",0.05,0.08,1.14
['28'],"['36', '41']",0.05,0.11,1.05
['41'],"['36', '28']",0.05,0.36,1.13
"['36', '28']",['41'],0.05,0.16,1.13
"['36', '41']",['28'],0.05,0.51,1.05
"['41', '28']",['36'],0.05,0.71,1.14
['17'],['41'],0.07,0.16,1.12
['41'],['17'],0.07,0.51,1.12
['38'],"['17', '41']",0.06,0.08,1.11
['17'],"['38', '41']",0.06,0.13,1.18
['41'],"['38', '17']",0.06,0.43,1.2
"['38', '17']",['41'],0.06,0.17,1.2
"['38', '41']",['17'],0.06,0.54,1.18
"['17', '41']",['38'],0.06,0.84,1.11
['36'],"['17', '41']",0.05,0.08,1.09
['17'],"['36', '41']",0.05,0.11,1.09
['41'],"['36', '17']",0.05,0.35,1.19
"['36', '17']",['41'],0.05,0.17,1.19
"['36', '41']",['17'],0.05,0.5,1.09
"['17', '41']",['36'],0.05,0.68,1.09
['40'],['41'],0.06,0.14,0.99
['41'],['40'],0.06,0.45,0.99
['38'],"['40', '41']",0.05,0.07,1.1
['40'],"['38', '41']",0.05,0.12,1.04
['41'],"['38', '40']",0.05,0.38,1.07
"['38', '40']",['41'],0.05,0.15,1.07
"['38', '41']",['40'],0.05,0.48,1.04
"['40', '41']",['38'],0.05,0.84,1.1
['39'],['41'],0.07,0.15,1.04
['41'],['39'],0.07,0.47,1.04
['38'],"['41', '39']",0.05,0.07,1.05
['39'],"['38', '41']",0.05,0.12,1.04
['41'],"['38', '39']",0.05,0.37,1.06
"['38', '39']",['41'],0.05,0.15,1.06
"['38', '41']",['39'],0.05,0.47,1.04
"['41', '39']",['38'],0.05,0.79,1.05
['9'],['41'],0.06,0.14,1.01
['41'],['9'],0.06,0.44,1.01
['38'],"['9', '41']",0.05,0.07,1.07
['9'],"['38', '41']",0.05,0.12,1.03
['41'],"['38', '9']",0.05,0.36,1.07
"['38', '9']",['41'],0.05,0.15,1.07
"['38', '41']",['9'],0.05,0.45,1.03
"['9', '41']",['38'],0.05,0.81,1.07
['14'],['41'],0.06,0.15,1.05
['41'],['14'],0.06,0.41,1.05
['29'],['41'],0.06,0.15,1.03
['41'],['29'],0.06,0.4,1.03
['35'],['41'],0.05,0.15,1.02
['41'],['35'],0.05,0.38,1.02
['36'],['41'],0.1,0.16,1.12
['41'],['36'],0.1,0.7,1.12
['38'],"['36', '41']",0.08,0.11,1.09
['36'],"['38', '41']",0.08,0.13,1.16
['41'],"['38', '36']",0.08,0.58,1.19
"['38', '36']",['41'],0.08,0.17,1.19
"['38', '41']",['36'],0.08,0.73,1.16
"['36', '41']",['38'],0.08,0.83,1.09
['47'],['41'],0.07,0.15,1.08
['41'],['47'],0.07,0.48,1.08
['38'],"['41', '47']",0.06,0.08,1.09
['47'],"['38', '41']",0.06,0.13,1.12
['41'],"['38', '47']",0.06,0.4,1.14
"['38', '47']",['41'],0.06,0.16,1.14
"['38', '41']",['47'],0.06,0.5,1.12
"['41', '47']",['38'],0.06,0.83,1.09
['36'],"['41', '47']",0.05,0.08,1.2
['47'],"['36', '41']",0.05,0.12,1.16
['41'],"['36', '47']",0.05,0.36,1.26
"['36', '47']",['41'],0.05,0.18,1.26
"['36', '41']",['47'],0.05,0.52,1.16
"['41', '47']",['36'],0.05,0.75,1.2
['43'],['41'],0.05,0.13,0.89
['41'],['43'],0.05,0.36,0.89
['3'],['41'],0.08,0.16,1.12
['41'],['3'],0.08,0.55,1.12
['38'],"['41', '3']",0.06,0.08,1.06
['3'],"['38', '41']",0.06,0.13,1.13
['41'],"['38', '3']",0.06,0.44,1.16
"['38', '3']",['41'],0.06,0.17,1.16
"['38', '41']",['3'],0.06,0.55,1.13
"['41', '3']",['38'],0.06,0.8,1.06
['36'],"['41', '3']",0.06,0.09,1.19
['3'],"['36', '41']",0.06,0.12,1.2
['41'],"['36', '3']",0.06,0.41,1.31
"['36', '3']",['41'],0.06,0.19,1.31
"['36', '41']",['3'],0.06,0.58,1.2
"['41', '3']",['36'],0.06,0.75,1.19
['38'],['46'],0.09,0.12,1.02
['46'],['38'],0.09,0.77,1.02
['48'],['46'],0.07,0.13,1.09
['46'],['48'],0.07,0.58,1.09
['38'],"['48', '46']",0.05,0.07,1.03
['48'],"['38', '46']",0.05,0.1,1.11
['46'],"['48', '38']",0.05,0.45,1.09
"['48', '38']",['46'],0.05,0.13,1.09
"['38', '46']",['48'],0.05,0.59,1.11
"['48', '46']",['38'],0.05,0.78,1.03
['11'],['46'],0.06,0.12,1.01
['46'],['11'],0.06,0.53,1.01
['8'],['46'],0.05,0.11,0.92
['46'],['8'],0.05,0.46,0.92
['28'],['46'],0.06,0.12,1.06
['46'],['28'],0.06,0.52,1.06
['17'],['46'],0.05,0.12,1.0
['46'],['17'],0.05,0.46,1.0
['40'],['46'],0.05,0.11,0.98
['46'],['40'],0.05,0.45,0.98
['39'],['46'],0.06,0.12,1.05
['46'],['39'],0.06,0.48,1.05
['9'],['46'],0.05,0.12,1.0
['46'],['9'],0.05,0.43,1.0
['35'],['46'],0.05,0.14,1.17
['46'],['35'],0.05,0.43,1.17
['36'],['46'],0.07,0.11,0.94
['46'],['36'],0.07,0.59,0.94
['38'],"['36', '46']",0.05,0.07,1.03
['36'],"['38', '46']",0.05,0.09,0.95
['46'],"['38', '36']",0.05,0.46,0.95
"['38', '36']",['46'],0.05,0.11,0.95
"['38', '46']",['36'],0.05,0.6,0.95
"['36', '46']",['38'],0.05,0.78,1.03
['47'],['46'],0.06,0.14,1.18
['46'],['47'],0.06,0.53,1.18
['43'],['46'],0.06,0.14,1.18
['46'],['43'],0.06,0.47,1.18
['3'],['46'],0.05,0.1,0.88
['46'],['3'],0.05,0.43,0.88
['38'],['47'],0.35,0.46,1.03
['47'],['38'],0.35,0.78,1.03
['36'],['47'],0.29,0.46,1.02
['47'],['36'],0.29,0.64,1.02
['38'],"['36', '47']",0.23,0.3,1.06
['36'],"['38', '47']",0.23,0.37,1.05
['47'],"['38', '36']",0.23,0.52,1.06
"['38', '36']",['47'],0.23,0.47,1.06
"['38', '47']",['36'],0.23,0.66,1.05
"['36', '47']",['38'],0.23,0.8,1.06
['48'],['47'],0.24,0.45,1.02
['47'],['48'],0.24,0.54,1.02
['38'],"['48', '47']",0.19,0.26,1.07
['48'],"['38', '47']",0.19,0.37,1.05
['47'],"['48', '38']",0.19,0.44,1.05
"['48', '38']",['47'],0.19,0.47,1.05
"['38', '47']",['48'],0.19,0.56,1.05
"['48', '47']",['38'],0.19,0.81,1.07
['36'],"['48', '47']",0.16,0.25,1.04
['48'],"['36', '47']",0.16,0.3,1.03
['47'],"['48', '36']",0.16,0.35,1.05
"['48', '36']",['47'],0.16,0.47,1.05
"['36', '47']",['48'],0.16,0.55,1.03
"['48', '47']",['36'],0.16,0.65,1.04
['38'],"['48', '36', '47']",0.13,0.17,1.1
['36'],"['48', '38', '47']",0.13,0.21,1.07
['48'],"['38', '36', '47']",0.13,0.25,1.07
['47'],"['48', '38', '36']",0.13,0.29,1.09
"['38', '36']","['48', '47']",0.13,0.27,1.11
"['48', '38']","['36', '47']",0.13,0.31,1.1
"['38', '47']","['48', '36']",0.13,0.38,1.12
"['48', '36']","['38', '47']",0.13,0.39,1.12
"['36', '47']","['48', '38']",0.13,0.46,1.1
"['48', '47']","['38', '36']",0.13,0.54,1.11
"['48', '38', '36']",['47'],0.13,0.49,1.09
"['38', '36', '47']",['48'],0.13,0.57,1.07
"['48', '38', '47']",['36'],0.13,0.67,1.07
"['48', '36', '47']",['38'],0.13,0.83,1.1
['8'],['47'],0.23,0.46,1.02
['47'],['8'],0.23,0.51,1.02
['38'],"['8', '47']",0.18,0.24,1.06
['8'],"['38', '47']",0.18,0.36,1.05
['47'],"['8', '38']",0.18,0.41,1.06
"['8', '38']",['47'],0.18,0.47,1.06
"['38', '47']",['8'],0.18,0.52,1.05
"['8', '47']",['38'],0.18,0.8,1.06
['36'],"['8', '47']",0.15,0.24,1.06
['8'],"['36', '47']",0.15,0.3,1.06
['47'],"['8', '36']",0.15,0.34,1.05
"['8', '36']",['47'],0.15,0.47,1.05
"['36', '47']",['8'],0.15,0.53,1.06
"['8', '47']",['36'],0.15,0.66,1.06
['38'],"['8', '36', '47']",0.12,0.16,1.09
['36'],"['8', '38', '47']",0.12,0.2,1.09
['8'],"['38', '36', '47']",0.12,0.25,1.09
['47'],"['8', '38', '36']",0.12,0.28,1.09
"['38', '36']","['8', '47']",0.12,0.26,1.13
"['8', '38']","['36', '47']",0.12,0.32,1.13
"['38', '47']","['8', '36']",0.12,0.36,1.11
"['8', '36']","['38', '47']",0.12,0.39,1.11
"['36', '47']","['8', '38']",0.12,0.44,1.13
"['8', '47']","['38', '36']",0.12,0.55,1.13
"['8', '38', '36']",['47'],0.12,0.49,1.09
"['38', '36', '47']",['8'],0.12,0.54,1.09
"['8', '38', '47']",['36'],0.12,0.69,1.09
"['8', '36', '47']",['38'],0.12,0.83,1.09
['48'],"['8', '47']",0.13,0.24,1.05
['8'],"['48', '47']",0.13,0.25,1.05
['47'],"['48', '8']",0.13,0.28,1.04
"['48', '8']",['47'],0.13,0.46,1.04
"['48', '47']",['8'],0.13,0.52,1.05
"['8', '47']",['48'],0.13,0.56,1.05
['38'],"['48', '8', '47']",0.11,0.14,1.1
['48'],"['8', '38', '47']",0.11,0.2,1.1
['8'],"['48', '38', '47']",0.11,0.21,1.09
['47'],"['48', '8', '38']",0.11,0.24,1.09
"['48', '38']","['8', '47']",0.11,0.26,1.12
"['8', '38']","['48', '47']",0.11,0.27,1.14
"['38', '47']","['48', '8']",0.11,0.3,1.11
"['48', '8']","['38', '47']",0.11,0.39,1.11
"['48', '47']","['8', '38']",0.11,0.44,1.14
"['8', '47']","['48', '38']",0.11,0.47,1.12
"['48', '8', '38']",['47'],0.11,0.49,1.09
"['48', '38', '47']",['8'],0.11,0.54,1.09
"['8', '38', '47']",['48'],0.11,0.58,1.1
"['48', '8', '47']",['38'],0.11,0.84,1.1
['36'],"['48', '8', '47']",0.08,0.13,1.06
['48'],"['8', '36', '47']",0.08,0.16,1.05
['8'],"['48', '36', '47']",0.08,0.17,1.07
['47'],"['48', '8', '36']",0.08,0.19,1.06
"['48', '36']","['8', '47']",0.08,0.25,1.1
"['8', '36']","['48', '47']",0.08,0.26,1.08
"['36', '47']","['48', '8']",0.08,0.29,1.07
"['48', '8']","['36', '47']",0.08,0.31,1.07
"['48', '47']","['8', '36']",0.08,0.35,1.08
"['8', '47']","['48', '36']",0.08,0.37,1.1
"['48', '8', '36']",['47'],0.08,0.47,1.06
"['48', '36', '47']",['8'],0.08,0.53,1.07
"['8', '36', '47']",['48'],0.08,0.56,1.05
"['48', '8', '47']",['36'],0.08,0.66,1.06
['38'],"['48', '8', '36', '47']",0.07,0.1,1.15
['36'],"['48', '8', '38', '47']",0.07,0.12,1.1
['48'],"['8', '38', '36', '47']",0.07,0.14,1.11
['8'],"['48', '38', '36', '47']",0.07,0.15,1.13
['47'],"['48', '8', '38', '36']",0.07,0.16,1.13
"['38', '36']","['48', '8', '47']",0.07,0.15,1.19
"['48', '38']","['8', '36', '47']",0.07,0.18,1.17
"['8', '38']","['48', '36', '47']",0.07,0.19,1.21
"['38', '47']","['48', '8', '36']",0.07,0.21,1.19
"['48', '36']","['8', '38', '47']",0.07,0.22,1.2
"['8', '36']","['48', '38', '47']",0.07,0.23,1.17
"['36', '47']","['48', '8', '38']",0.07,0.26,1.18
"['48', '8']","['38', '36', '47']",0.07,0.27,1.16
"['48', '47']","['8', '38', '36']",0.07,0.3,1.19
"['8', '47']","['48', '38', '36']",0.07,0.32,1.21
"['48', '38', '36']","['8', '47']",0.07,0.27,1.21
"['8', '38', '36']","['48', '47']",0.07,0.29,1.19
"['38', '36', '47']","['48', '8']",0.07,0.32,1.16
"['48', '8', '38']","['36', '47']",0.07,0.34,1.18
"['48', '38', '47']","['8', '36']",0.07,0.38,1.17
"['8', '38', '47']","['48', '36']",0.07,0.4,1.2
"['48', '8', '36']","['38', '47']",0.07,0.41,1.19
"['48', '36', '47']","['8', '38']",0.07,0.47,1.21
"['8', '36', '47']","['48', '38']",0.07,0.49,1.17
"['48', '8', '47']","['38', '36']",0.07,0.58,1.19
"['48', '8', '38', '36']",['47'],0.07,0.5,1.13
"['48', '38', '36', '47']",['8'],0.07,0.56,1.13
"['8', '38', '36', '47']",['48'],0.07,0.59,1.11
"['48', '8', '38', '47']",['36'],0.07,0.69,1.1
"['48', '8', '36', '47']",['38'],0.07,0.87,1.15
['11'],"['8', '47']",0.13,0.24,1.07
['8'],"['11', '47']",0.13,0.25,1.07
['47'],"['11', '8']",0.13,0.28,1.02
"['11', '8']",['47'],0.13,0.46,1.02
"['11', '47']",['8'],0.13,0.53,1.07
"['8', '47']",['11'],0.13,0.56,1.07
['38'],"['11', '8', '47']",0.11,0.14,1.1
['11'],"['8', '38', '47']",0.11,0.2,1.12
['8'],"['11', '38', '47']",0.11,0.21,1.1
['47'],"['11', '8', '38']",0.11,0.24,1.07
"['11', '38']","['8', '47']",0.11,0.26,1.14
"['8', '38']","['11', '47']",0.11,0.27,1.15
"['38', '47']","['11', '8']",0.11,0.3,1.09
"['11', '8']","['38', '47']",0.11,0.38,1.09
"['11', '47']","['8', '38']",0.11,0.44,1.15
"['8', '47']","['11', '38']",0.11,0.47,1.14
"['11', '8', '38']",['47'],0.11,0.48,1.07
"['11', '38', '47']",['8'],0.11,0.54,1.1
"['8', '38', '47']",['11'],0.11,0.58,1.12
"['11', '8', '47']",['38'],0.11,0.83,1.1
['36'],"['11', '8', '47']",0.08,0.13,1.05
['11'],"['8', '36', '47']",0.08,0.16,1.06
['8'],"['11', '36', '47']",0.08,0.17,1.06
['47'],"['11', '8', '36']",0.08,0.19,1.03
"['11', '36']","['8', '47']",0.08,0.24,1.07
"['8', '36']","['11', '47']",0.08,0.26,1.09
"['36', '47']","['11', '8']",0.08,0.29,1.05
"['11', '8']","['36', '47']",0.08,0.3,1.05
"['11', '47']","['8', '36']",0.08,0.35,1.09
"['8', '47']","['11', '36']",0.08,0.37,1.07
"['11', '8', '36']",['47'],0.08,0.46,1.03
"['11', '36', '47']",['8'],0.08,0.53,1.06
"['8', '36', '47']",['11'],0.08,0.55,1.06
"['11', '8', '47']",['36'],0.08,0.66,1.05
['38'],"['11', '8', '36', '47']",0.07,0.09,1.13
['36'],"['11', '8', '38', '47']",0.07,0.11,1.07
['11'],"['8', '38', '36', '47']",0.07,0.14,1.09
['8'],"['11', '38', '36', '47']",0.07,0.14,1.1
['47'],"['11', '8', '38', '36']",0.07,0.16,1.08
"['38', '36']","['11', '8', '47']",0.07,0.15,1.15
"['11', '38']","['8', '36', '47']",0.07,0.17,1.15
"['8', '38']","['11', '36', '47']",0.07,0.18,1.17
"['38', '47']","['11', '8', '36']",0.07,0.2,1.13
"['11', '36']","['8', '38', '47']",0.07,0.21,1.14
"['8', '36']","['11', '38', '47']",0.07,0.22,1.14
"['36', '47']","['11', '8', '38']",0.07,0.25,1.12
"['11', '8']","['38', '36', '47']",0.07,0.25,1.11
"['11', '47']","['8', '38', '36']",0.07,0.3,1.16
"['8', '47']","['11', '38', '36']",0.07,0.31,1.16
"['11', '38', '36']","['8', '47']",0.07,0.26,1.16
"['8', '38', '36']","['11', '47']",0.07,0.28,1.16
"['38', '36', '47']","['11', '8']",0.07,0.31,1.11
"['11', '8', '38']","['36', '47']",0.07,0.32,1.12
"['11', '38', '47']","['8', '36']",0.07,0.37,1.14
"['8', '38', '47']","['11', '36']",0.07,0.39,1.14
"['11', '8', '36']","['38', '47']",0.07,0.39,1.13
"['11', '36', '47']","['8', '38']",0.07,0.45,1.17
"['8', '36', '47']","['11', '38']",0.07,0.47,1.15
"['11', '8', '47']","['38', '36']",0.07,0.56,1.15
"['11', '8', '38', '36']",['47'],0.07,0.48,1.08
"['11', '38', '36', '47']",['8'],0.07,0.55,1.1
"['8', '38', '36', '47']",['11'],0.07,0.57,1.09
"['11', '8', '38', '47']",['36'],0.07,0.67,1.07
"['11', '8', '36', '47']",['38'],0.07,0.85,1.13
['48'],"['11', '8', '47']",0.07,0.14,1.07
['11'],"['48', '8', '47']",0.07,0.14,1.09
['8'],"['48', '11', '47']",0.07,0.14,1.09
['47'],"['48', '11', '8']",0.07,0.16,1.0
"['48', '11']","['8', '47']",0.07,0.25,1.09
"['48', '8']","['11', '47']",0.07,0.26,1.1
"['48', '47']","['11', '8']",0.07,0.3,1.07
"['11', '8']","['48', '47']",0.07,0.26,1.07
"['11', '47']","['48', '8']",0.07,0.3,1.1
"['8', '47']","['48', '11']",0.07,0.32,1.09
"['48', '11', '8']",['47'],0.07,0.45,1.0
"['48', '11', '47']",['8'],0.07,0.54,1.09
"['48', '8', '47']",['11'],0.07,0.57,1.09
"['11', '8', '47']",['48'],0.07,0.57,1.07
['38'],"['48', '11', '8', '47']",0.06,0.08,1.12
['48'],"['11', '8', '38', '47']",0.06,0.12,1.09
['11'],"['48', '8', '38', '47']",0.06,0.12,1.11
['8'],"['48', '11', '38', '47']",0.06,0.12,1.12
['47'],"['48', '11', '8', '38']",0.06,0.14,1.07
"['48', '38']","['11', '8', '47']",0.06,0.15,1.17
"['11', '38']","['48', '8', '47']",0.06,0.15,1.19
"['8', '38']","['48', '11', '47']",0.06,0.16,1.2
"['38', '47']","['48', '11', '8']",0.06,0.18,1.09
"['48', '11']","['8', '38', '47']",0.06,0.21,1.16
"['48', '8']","['11', '38', '47']",0.06,0.22,1.15
"['48', '47']","['11', '8', '38']",0.06,0.25,1.15
"['11', '8']","['48', '38', '47']",0.06,0.22,1.13
"['11', '47']","['48', '8', '38']",0.06,0.26,1.19
"['8', '47']","['48', '11', '38']",0.06,0.27,1.18
"['48', '11', '38']","['8', '47']",0.06,0.27,1.18
"['48', '8', '38']","['11', '47']",0.06,0.28,1.19
"['48', '38', '47']","['11', '8']",0.06,0.31,1.13
"['11', '8', '38']","['48', '47']",0.06,0.28,1.15
"['11', '38', '47']","['48', '8']",0.06,0.32,1.15
"['8', '38', '47']","['48', '11']",0.06,0.34,1.16
"['48', '11', '8']","['38', '47']",0.06,0.38,1.09
"['48', '11', '47']","['8', '38']",0.06,0.46,1.2
"['48', '8', '47']","['11', '38']",0.06,0.48,1.19
